,date,state,positive,negative,positiveIncrease,negativeIncrease,death,deathIncrease,totalTestResultsIncrease,totalTestResults,recovered,Percentage,Active Cases
1602,20200801,NJ,182029.0,1914669.0,369,0,15734.0,12,369,2096698.0,32475.0,100.00%,149554.0
1642,20200731,KS,27812.0,264695.0,942,6616,358.0,9,7558,292507.0,1178.0,12.46%,26634.0
1658,20200731,NJ,181660.0,1914669.0,690,36075,15722.0,11,36765,2096329.0,32475.0,1.88%,149185.0
1698,20200730,KS,26870.0,258079.0,0,0,349.0,0,0,284949.0,1149.0,0.00%,25721.0
1714,20200730,NJ,180970.0,1878594.0,204,16678,15711.0,11,16882,2059564.0,32423.0,1.21%,148547.0
1754,20200729,KS,26870.0,258079.0,698,5315,349.0,14,6013,284949.0,1149.0,11.61%,25721.0
1770,20200729,NJ,180766.0,1861916.0,471,57907,15700.0,18,58378,2042682.0,32365.0,0.81%,148401.0
1810,20200728,KS,26172.0,252764.0,0,0,335.0,0,0,278936.0,1108.0,0.00%,25064.0
1826,20200728,NJ,180295.0,1804009.0,483,-20,15682.0,22,463,1984304.0,32313.0,104.32%,147982.0
1866,20200727,KS,26172.0,252764.0,1063,-94,335.0,9,969,278936.0,1108.0,109.70%,25064.0
1882,20200727,NJ,179812.0,1804029.0,449,30103,15660.0,17,30552,1983841.0,32275.0,1.47%,147537.0
1922,20200726,KS,25109.0,252858.0,0,0,326.0,0,0,277967.0,1077.0,0.00%,24032.0
1938,20200726,NJ,179363.0,1773926.0,505,64627,15643.0,12,65132,1953289.0,32133.0,0.78%,147230.0
1978,20200725,KS,25109.0,252858.0,0,0,326.0,0,0,277967.0,1077.0,0.00%,24032.0
1994,20200725,NJ,178858.0,1709299.0,513,0,15631.0,11,513,1888157.0,32061.0,100.00%,146797.0
2034,20200724,KS,25109.0,252858.0,1005,8276,326.0,18,9281,277967.0,1077.0,10.83%,24032.0
2050,20200724,NJ,178345.0,1709299.0,458,27548,15620.0,35,28006,1887644.0,32001.0,1.64%,146344.0
2090,20200723,KS,24104.0,244582.0,0,0,308.0,0,0,268686.0,1050.0,0.00%,23054.0
2106,20200723,NJ,177887.0,1681751.0,242,18467,15585.0,23,18709,1859638.0,31925.0,1.29%,145962.0
2146,20200722,KS,24104.0,244582.0,770,6385,308.0,1,7155,268686.0,1050.0,10.76%,23054.0
