,date,state,positive,negative,positiveIncrease,negativeIncrease,death,deathIncrease,totalTestResultsIncrease,totalTestResults,recovered,Percentage,Active Cases
8474,4/4/2020,KS,698,6880,78,426,21,4,504,7578,0,15.48%,677
8490,4/4/2020,NJ,34124,41232,4229,3624,1058,242,7853,75356,0,53.85%,33066
8530,4/3/2020,KS,620,6454,68,395,17,4,463,7074,0,14.69%,603
8546,4/3/2020,NJ,29895,37608,4305,4088,816,136,8393,67503,0,51.29%,29079
8586,4/2/2020,KS,552,6059,70,648,13,3,718,6611,0,9.75%,539
8602,4/2/2020,NJ,25590,33520,3335,3133,680,205,6468,59110,0,51.56%,24910
8642,4/1/2020,KS,482,5411,54,415,10,1,469,5893,0,11.51%,472
8658,4/1/2020,NJ,22255,30387,3559,3310,475,110,6869,52642,0,51.81%,21780
8698,3/31/2020,KS,428,4996,60,442,9,1,502,5424,0,11.95%,419
8754,3/30/2020,KS,368,4554,49,360,8,2,409,4922,0,11.98%,360
8810,3/29/2020,KS,319,4194,58,523,6,1,581,4513,0,9.98%,313
8866,3/28/2020,KS,261,3671,59,442,5,1,501,3932,0,11.78%,256
8922,3/27/2020,KS,202,3229,34,360,4,1,394,3431,0,8.63%,198
8978,3/26/2020,KS,168,2869,42,509,3,0,551,3037,0,7.62%,165
9034,3/25/2020,KS,126,2360,28,274,3,1,302,2486,0,9.27%,123
9090,3/24/2020,KS,98,2086,16,1669,2,0,1685,2184,0,0.95%,96
9146,3/23/2020,KS,82,417,18,0,2,0,18,499,0,100.00%,80
9202,3/22/2020,KS,64,417,9,0,2,0,9,481,0,100.00%,62
9258,3/21/2020,KS,55,417,11,0,2,1,11,472,0,100.00%,53
9314,3/20/2020,KS,44,417,10,0,1,0,10,461,0,100.00%,43
9370,3/19/2020,KS,34,417,18,0,1,0,18,451,0,100.00%,33
9426,3/18/2020,KS,16,417,1,35,1,0,36,433,0,2.78%,15
9482,3/17/2020,KS,15,382,4,216,1,0,220,397,0,1.82%,14
9538,3/16/2020,KS,11,166,3,31,1,0,34,177,0,8.82%,10
9592,3/15/2020,KS,8,135,2,42,1,0,44,143,0,4.55%,7
9643,3/14/2020,KS,6,93,0,0,1,1,0,99,0,0.00%,5
9694,3/13/2020,KS,6,93,2,52,0,0,54,99,0,3.70%,6
9745,3/12/2020,KS,4,41,3,0,0,0,3,45,0,100.00%,4
9796,3/11/2020,KS,1,41,0,24,0,0,24,42,0,0.00%,1
9847,3/10/2020,KS,1,17,0,6,0,0,6,18,0,0.00%,1
9898,3/9/2020,KS,1,11,0,0,0,0,0,12,0,0.00%,1
9949,3/8/2020,KS,1,11,1,0,0,0,1,12,0,100.00%,1
10000,3/7/2020,KS,0,11,0,7,0,0,7,11,0,0.00%,0
10047,3/6/2020,KS,0,4,0,0,0,0,0,4,0,0.00%,0
10085,3/5/2020,KS,0,0,0,0,0,0,0,0,0,0.00%,0
10106,3/4/2020,KS,0,0,0,0,0,0,0,0,0,0.00%,0
10117,3/3/2020,KS,0,0,0,0,0,0,0,0,0,0.00%,0
10123,3/2/2020,KS,0,0,0,0,0,0,0,0,0,0.00%,0
10129,3/1/2020,KS,0,0,0,0,0,0,0,0,0,0.00%,0
8714,3/31/2020,NJ,18696,27077,2060,1853,365,98,3913,45773,0,52.65%,18331
8770,3/30/2020,NJ,16636,25224,3250,3008,267,49,6258,41860,0,51.93%,16369
8826,3/29/2020,NJ,13386,22216,2262,2830,218,26,5092,35602,0,44.42%,13168
8882,3/28/2020,NJ,11124,19386,2299,2839,192,51,5138,30510,0,44.75%,10932
8938,3/27/2020,NJ,8825,16547,1949,2886,141,32,4835,25372,0,40.31%,8684
8994,3/26/2020,NJ,6876,13661,2474,3209,109,28,5683,20537,0,43.53%,6767
9050,3/25/2020,NJ,4402,10452,727,2127,81,21,2854,14854,0,25.47%,4321
9106,3/24/2020,NJ,3675,8325,831,7966,60,20,8797,12000,0,9.45%,3615
9162,3/23/2020,NJ,2844,359,930,32,40,11,962,3203,0,96.67%,2804
9218,3/22/2020,NJ,1914,327,587,33,29,7,620,2241,0,94.68%,1885
9274,3/21/2020,NJ,1327,294,437,30,22,6,467,1621,0,93.58%,1305
9330,3/20/2020,NJ,890,264,148,54,16,3,202,1154,0,73.27%,874
9386,3/19/2020,NJ,742,210,315,20,13,6,335,952,0,94.03%,729
9442,3/18/2020,NJ,427,190,160,27,7,3,187,617,0,85.56%,420
9498,3/17/2020,NJ,267,163,89,43,4,2,132,430,0,67.42%,263
9554,3/16/2020,NJ,178,120,80,0,2,0,80,298,0,100.00%,176
9607,3/15/2020,NJ,98,120,48,23,2,1,71,218,0,67.61%,96
9658,3/14/2020,NJ,50,97,0,0,1,0,0,147,0,0.00%,49
9709,3/13/2020,NJ,50,97,20,23,1,0,43,147,0,46.51%,49
9760,3/12/2020,NJ,30,74,6,17,1,0,23,104,0,26.09%,29
9811,3/11/2020,NJ,24,57,9,13,1,1,22,81,0,40.91%,23
9862,3/10/2020,NJ,15,44,4,9,0,0,13,59,0,30.77%,15
9913,3/9/2020,NJ,11,35,5,4,0,0,9,46,0,55.56%,11
9964,3/8/2020,NJ,6,31,2,31,0,0,33,37,0,6.06%,6
10015,3/7/2020,NJ,4,0,3,0,0,0,3,4,0,100.00%,4
10056,3/6/2020,NJ,1,0,0,0,0,0,0,1,0,0.00%,1
10085,3/5/2020,NJ,1,0,1,0,0,0,1,1,0,100.00%,1
10106,3/4/2020,NJ,0,0,0,0,0,0,0,0,0,0.00%,0
10117,3/3/2020,NJ,0,0,0,0,0,0,0,0,0,0.00%,0
10123,3/2/2020,NJ,0,0,0,0,0,0,0,0,0,0.00%,0
10129,3/1/2020,NJ,0,0,0,0,0,0,0,0,0,0.00%,0
10134,2/29/2020,NJ,0,0,0,0,0,0,0,0,0,0.00%,0
10138,2/28/2020,NJ,0,0,0,0,0,0,0,0,0,0.00%,0
10142,2/27/2020,NJ,0,0,0,0,0,0,0,0,0,0.00%,0
10146,2/26/2020,NJ,0,0,0,0,0,0,0,0,0,0.00%,0
10149,2/25/2020,NJ,0,0,0,0,0,0,0,0,0,0.00%,0
10152,2/24/2020,NJ,0,0,0,0,0,0,0,0,0,0.00%,0
10155,2/23/2020,NJ,0,0,0,0,0,0,0,0,0,0.00%,0
10158,2/22/2020,NJ,0,0,0,0,0,0,0,0,0,0.00%,0
10161,2/21/2020,NJ,0,0,0,0,0,0,0,0,0,0.00%,0
10164,2/20/2020,NJ,0,0,0,0,0,0,0,0,0,0.00%,0
10167,2/19/2020,NJ,0,0,0,0,0,0,0,0,0,0.00%,0
10170,2/18/2020,NJ,0,0,0,0,0,0,0,0,0,0.00%,0
10173,2/17/2020,NJ,0,0,0,0,0,0,0,0,0,0.00%,0
10176,2/16/2020,NJ,0,0,0,0,0,0,0,0,0,0.00%,0
10179,2/15/2020,NJ,0,0,0,0,0,0,0,0,0,0.00%,0
10182,2/14/2020,NJ,0,0,0,0,0,0,0,0,0,0.00%,0
10185,2/13/2020,NJ,0,0,0,0,0,0,0,0,0,0.00%,0
10188,2/12/2020,NJ,0,0,0,0,0,0,0,0,0,0.00%,0
10191,2/11/2020,NJ,0,0,0,0,0,0,0,0,0,0.00%,0
10194,2/10/2020,NJ,0,0,0,0,0,0,0,0,0,0.00%,0
