,date,state,positive,negative,positiveIncrease,negativeIncrease,death,deathIncrease,totalTestResultsIncrease,totalTestResults,recovered,Percentage,Active Cases
1922,7/30/2020,KS,26870,258079,0,0,349,0,0,284949,1149,0.00%,25372
1938,7/30/2020,NJ,180970,1878594,204,16678,15711,11,16882,2059564,32423,1.21%,132836
1978,7/29/2020,KS,26870,258079,698,5315,349,14,6013,284949,1149,11.61%,25372
1994,7/29/2020,NJ,180766,1861916,471,57907,15700,18,58378,2042682,32365,0.81%,132701
2034,7/28/2020,KS,26172,252764,0,0,335,0,0,278936,1108,0.00%,24729
2050,7/28/2020,NJ,180295,1804009,483,-20,15682,22,463,1984304,32313,104.32%,132300
2090,7/27/2020,KS,26172,252764,1063,-94,335,9,969,278936,1108,109.70%,24729
2106,7/27/2020,NJ,179812,1804029,449,30103,15660,17,30552,1983841,32275,1.47%,131877
2146,7/26/2020,KS,25109,252858,0,0,326,0,0,277967,1077,0.00%,23706
2162,7/26/2020,NJ,179363,1773926,505,64627,15643,12,65132,1953289,32133,0.78%,131587
2202,7/25/2020,KS,25109,252858,0,0,326,0,0,277967,1077,0.00%,23706
2218,7/25/2020,NJ,178858,1709299,513,0,15631,11,513,1888157,32061,100.00%,131166
2258,7/24/2020,KS,25109,252858,1005,8276,326,18,9281,277967,1077,10.83%,23706
2274,7/24/2020,NJ,178345,1709299,458,27548,15620,35,28006,1887644,32001,1.64%,130724
2314,7/23/2020,KS,24104,244582,0,0,308,0,0,268686,1050,0.00%,22746
2330,7/23/2020,NJ,177887,1681751,242,18467,15585,23,18709,1859638,31925,1.29%,130377
2370,7/22/2020,KS,24104,244582,770,6385,308,1,7155,268686,1050,10.76%,22746
2386,7/22/2020,NJ,177645,1663284,389,22585,15562,24,22974,1840929,31850,1.69%,130233
2426,7/21/2020,KS,23334,238197,0,0,307,0,0,261531,1016,0.00%,22011
2442,7/21/2020,NJ,177256,1640699,293,14788,15538,22,15081,1817955,31781,1.94%,129937
2482,7/20/2020,KS,23334,238197,1369,10809,307,8,12178,261531,1016,11.24%,22011
2498,7/20/2020,NJ,176963,1625911,180,11557,15516,10,11737,1802874,31448,1.53%,129999
2538,7/19/2020,KS,21965,227388,0,0,299,0,0,249353,983,0.00%,20683
2554,7/19/2020,NJ,176783,1614354,-31,9718,15506,8,9687,1791137,31405,-0.32%,129872
2594,7/18/2020,KS,21965,227388,0,0,299,0,0,249353,983,0.00%,20683
2610,7/18/2020,NJ,176814,1604636,263,12259,15498,15,12522,1781450,31400,2.10%,129916
2650,7/17/2020,KS,21965,227388,1032,8947,299,0,9979,249353,983,10.34%,20683
2666,7/17/2020,NJ,176551,1592377,50,8974,15483,19,9024,1768928,31400,0.55%,129668
2706,7/16/2020,KS,20933,218441,0,0,299,0,0,239374,948,0.00%,19686
2722,7/16/2020,NJ,176501,1583403,223,17334,15464,31,17557,1759904,31400,1.27%,129637
2762,7/15/2020,KS,20933,218441,875,7324,299,11,8199,239374,948,10.67%,19686
2778,7/15/2020,NJ,176278,1566069,363,20753,15433,25,21116,1742347,31400,1.72%,129445
2818,7/14/2020,KS,20058,211117,0,0,288,0,0,231175,920,0.00%,18850
2834,7/14/2020,NJ,175915,1545316,393,20453,15408,22,20846,1721231,31318,1.89%,129189
2874,7/13/2020,KS,20058,211117,1447,11949,288,4,13396,231175,920,10.80%,18850
2890,7/13/2020,NJ,175522,1524863,224,14557,15386,19,14781,1700385,31261,1.52%,128875
2930,7/12/2020,KS,18611,199168,0,0,284,0,0,217779,905,0.00%,17422
2946,7/12/2020,NJ,175298,1510306,339,23981,15367,16,24320,1685604,31190,1.39%,128741
2986,7/11/2020,KS,18611,199168,0,0,284,0,0,217779,905,0.00%,17422
3002,7/11/2020,NJ,174959,1486325,331,37795,15351,46,38126,1661284,31092,0.87%,128516
3042,7/10/2020,KS,18611,199168,993,8304,284,2,9297,217779,905,10.68%,17422
3058,7/10/2020,NJ,174628,1448530,388,23353,15305,31,23741,1623158,31014,1.63%,128309
3098,7/9/2020,KS,17618,190864,0,0,282,0,0,208482,879,0.00%,16457
3114,7/9/2020,NJ,174240,1425177,201,21368,15274,25,21569,1599417,30938,0.93%,128028
3154,7/8/2020,KS,17618,190864,717,5546,282,2,6263,208482,879,11.45%,16457
3170,7/8/2020,NJ,174039,1403809,161,17554,15249,52,17715,1577848,30844,0.91%,127946
3210,7/7/2020,KS,16901,185318,0,0,280,0,0,202219,859,0.00%,15762
3226,7/7/2020,NJ,173878,1386255,267,10657,15197,53,10924,1560133,30774,2.44%,127907
3266,7/6/2020,KS,16901,185318,982,9676,280,3,10658,202219,859,9.21%,15762
3282,7/6/2020,NJ,173611,1375598,209,14360,15144,19,14569,1549209,30729,1.43%,127738
3322,7/5/2020,KS,15919,175642,0,0,277,0,0,191561,842,0.00%,14800
3338,7/5/2020,NJ,173402,1361238,369,25723,15125,22,26092,1534640,30660,1.41%,127617
3378,7/4/2020,KS,15919,175642,0,0,277,0,0,191561,842,0.00%,14800
3394,7/4/2020,NJ,173033,1335515,291,22756,15103,25,23047,1508548,30565,1.26%,127365
3434,7/3/2020,KS,15919,175642,929,7459,277,5,8388,191561,842,11.08%,14800
3450,7/3/2020,NJ,172742,1312759,386,21202,15078,58,21588,1485501,30464,1.79%,127200
3490,7/2/2020,KS,14990,168183,0,0,272,0,0,183173,834,0.00%,13884
3506,7/2/2020,NJ,172356,1291557,428,20548,15020,27,20976,1463913,30383,2.04%,126953
3546,7/1/2020,KS,14990,168183,547,5901,272,2,6448,183173,834,8.48%,13884
3562,7/1/2020,NJ,171928,1271009,261,20302,14993,43,20563,1442937,30300,1.27%,126635
3602,6/30/2020,KS,14443,162282,0,0,270,0,0,176725,794,0.00%,13379
3618,6/30/2020,NJ,171667,1250707,395,17995,14950,43,18390,1422374,30213,2.15%,126504
3658,6/29/2020,KS,14443,162282,905,7961,270,6,8866,176725,794,10.21%,13379
3674,6/29/2020,NJ,171272,1232712,90,16061,14907,19,16151,1403984,30163,0.56%,126202
3714,6/28/2020,KS,13538,154321,0,0,264,0,0,167859,779,0.00%,12495
3730,6/28/2020,NJ,171182,1216651,309,20274,14888,27,20583,1387833,30092,1.50%,126202
3770,6/27/2020,KS,13538,154321,0,0,264,0,0,167859,779,0.00%,12495
3786,6/27/2020,NJ,170873,1196377,289,20289,14861,36,20578,1367250,29967,1.40%,126045
3826,6/26/2020,KS,13538,154321,568,5586,264,3,6154,167859,779,9.23%,12495
3842,6/26/2020,NJ,170584,1176088,388,25374,14825,43,25762,1346672,29855,1.51%,125904
3882,6/25/2020,KS,12970,148735,0,0,261,0,0,161705,747,0.00%,11962
3898,6/25/2020,NJ,170196,1150714,304,20961,14782,23,21265,1320910,29740,1.43%,125674
3938,6/24/2020,KS,12970,148735,505,6187,261,2,6692,161705,747,7.55%,11962
3954,6/24/2020,NJ,169892,1129753,158,16036,14759,46,16194,1299645,29627,0.98%,125506
3994,6/23/2020,KS,12465,142548,0,0,259,0,0,155013,722,0.00%,11484
4010,6/23/2020,NJ,169734,1113717,319,15733,14713,56,16052,1283451,29517,1.99%,125504
4050,6/22/2020,KS,12465,142548,406,6958,259,5,7364,155013,722,5.51%,11484
4066,6/22/2020,NJ,169415,1097984,273,22159,14657,28,22432,1267399,29522,1.22%,125236
4106,6/21/2020,KS,12059,135590,0,0,254,0,0,147649,715,0.00%,11090
4122,6/21/2020,NJ,169142,1075825,308,25786,14629,15,26094,1244967,29450,1.18%,125063
4162,6/20/2020,KS,12059,135590,0,0,254,0,0,147649,715,0.00%,11090
4178,6/20/2020,NJ,168834,1050039,338,24192,14614,23,24530,1218873,29318,1.38%,124902
4218,6/19/2020,KS,12059,135590,378,5147,254,7,5525,147649,715,6.84%,11090
4234,6/19/2020,NJ,168496,1025847,389,22220,14591,35,22609,1194343,29209,1.72%,124696
4274,6/18/2020,KS,11681,130443,0,0,247,0,0,142124,696,0.00%,10738
4290,6/18/2020,NJ,168107,1003627,404,23489,14556,32,23893,1171734,29101,1.69%,124450
4330,6/17/2020,KS,11681,130443,262,4900,247,2,5162,142124,696,5.08%,10738
4346,6/17/2020,NJ,167703,980138,277,15782,14524,42,16059,1147841,28966,1.72%,124213
4386,6/16/2020,KS,11419,125543,0,0,245,0,0,136962,676,0.00%,10498
4402,6/16/2020,NJ,167426,964356,323,15376,14482,52,15699,1131782,28872,2.06%,124072
4442,6/15/2020,KS,11419,125543,372,7438,245,2,7810,136962,676,4.76%,10498
4458,6/15/2020,NJ,167103,948980,222,18245,14430,52,18467,1116083,28819,1.20%,123854
4498,6/14/2020,KS,11047,118105,0,0,243,0,0,129152,667,0.00%,10137
4514,6/14/2020,NJ,166881,930735,276,19125,14378,37,19401,1097616,28714,1.42%,123789
4554,6/13/2020,KS,11047,118105,0,0,243,0,0,129152,667,0.00%,10137
4570,6/13/2020,NJ,166605,911610,441,22378,14341,103,22819,1078215,28606,1.93%,123658
4610,6/12/2020,KS,11047,118105,235,5175,243,3,5410,129152,667,4.34%,10137
4626,6/12/2020,NJ,166164,889232,348,24255,14238,49,24603,1055396,28509,1.41%,123417
4666,6/11/2020,KS,10812,112930,0,0,240,0,0,123742,657,0.00%,9915
4682,6/11/2020,NJ,165816,864977,470,21389,14189,67,21859,1030793,28376,2.15%,123251
4722,6/10/2020,KS,10812,112930,162,4071,240,4,4233,123742,657,3.83%,9915
4738,6/10/2020,NJ,165346,843588,550,18887,14122,76,19437,1008934,28207,2.83%,123017
4778,6/9/2020,KS,10650,108859,0,0,236,0,0,119509,625,0.00%,9789
4794,6/9/2020,NJ,164796,824701,299,14109,14046,93,14408,989497,28036,2.08%,122714
4834,6/8/2020,KS,10650,108859,257,5599,236,4,5856,119509,625,4.39%,9789
4850,6/8/2020,NJ,164497,810592,333,14331,13953,39,14664,975089,27941,2.27%,122603
4890,6/7/2020,KS,10393,103260,0,0,232,0,0,113653,612,0.00%,9549
4906,6/7/2020,NJ,164164,796261,271,17138,13914,71,17409,960425,27824,1.56%,122426
4946,6/6/2020,KS,10393,103260,0,0,232,0,0,113653,612,0.00%,9549
4962,6/6/2020,NJ,163893,779123,557,23568,13843,58,24125,943016,27641,2.31%,122409
5002,6/5/2020,KS,10393,103260,223,5377,232,10,5600,113653,612,3.98%,9549
5018,6/5/2020,NJ,163336,755555,806,60356,13785,82,61162,918891,27433,1.32%,122118
5058,6/4/2020,KS,10170,97883,0,0,222,0,0,108053,592,0.00%,9356
5074,6/4/2020,NJ,162530,695199,462,19847,13703,95,20309,857729,27231,2.27%,121596
5114,6/3/2020,KS,10170,97883,159,4582,222,5,4741,108053,592,3.35%,9356
5130,6/3/2020,NJ,162068,675352,523,19220,13608,112,19743,837420,27008,2.65%,121452
5170,6/2/2020,KS,10011,93301,0,8071,217,0,8071,103312,555,0.00%,9239
5186,6/2/2020,NJ,161545,656132,627,21450,13496,52,22077,817677,26815,2.84%,121234
5226,6/1/2020,KS,10011,85230,292,0,217,9,292,95241,547,100.00%,9247
5242,6/1/2020,NJ,160918,634682,473,48982,13444,26,49455,795600,26703,0.96%,120771
5282,5/31/2020,KS,9719,85230,0,0,208,0,0,94949,547,0.00%,8964
5298,5/31/2020,NJ,160445,585700,837,0,13418,67,837,746145,26560,100.00%,120467
5338,5/30/2020,KS,9719,85230,0,0,208,0,0,94949,547,0.00%,8964
5354,5/30/2020,NJ,159608,585700,764,28133,13351,106,28897,745308,26301,2.64%,119956
5394,5/29/2020,KS,9719,85230,382,10079,208,3,10461,94949,547,3.65%,8964
5410,5/29/2020,NJ,158844,557567,1029,29525,13245,135,30554,716411,26084,3.37%,119515
5450,5/28/2020,KS,9337,75151,0,0,205,0,0,84488,534,0.00%,8598
5466,5/28/2020,NJ,157815,528042,1187,24345,13110,67,25532,685857,25804,4.65%,118901
5506,5/27/2020,KS,9337,75151,119,2970,205,17,3089,84488,534,3.85%,8598
5522,5/27/2020,NJ,156628,503697,864,23569,13043,151,24433,660325,25552,3.54%,118033
5562,5/26/2020,KS,9218,72181,0,0,188,0,0,81399,493,0.00%,8537
5578,5/26/2020,NJ,155764,480128,672,11423,12892,52,12095,635892,25384,5.56%,117488
5618,5/25/2020,KS,9218,72181,260,4705,188,3,4965,81399,493,5.24%,8537
5634,5/25/2020,NJ,155092,468705,938,19052,12840,15,19990,623797,25253,4.69%,116999
5674,5/24/2020,KS,8958,67476,0,0,185,0,0,76434,485,0.00%,8288
5690,5/24/2020,NJ,154154,449653,1050,24022,12825,54,25072,603807,25040,4.19%,116289
5730,5/23/2020,KS,8958,67476,0,0,185,0,0,76434,485,0.00%,8288
5746,5/23/2020,NJ,153104,425631,385,23036,12771,99,23421,578735,24762,1.64%,115571
5786,5/22/2020,KS,8958,67476,419,4812,185,7,5231,76434,485,8.01%,8288
5802,5/22/2020,NJ,152719,402595,1247,9793,12672,148,11040,555314,24491,11.30%,115556
5842,5/21/2020,KS,8539,62664,0,0,178,0,0,71203,473,0.00%,7888
5858,5/21/2020,NJ,151472,392802,1073,11858,12524,102,12931,544274,24236,8.30%,114712
5898,5/20/2020,KS,8539,62664,199,4014,178,5,4213,71203,473,4.72%,7888
5914,5/20/2020,NJ,150399,380944,1386,9775,12422,168,11161,531343,23945,12.42%,114032
5954,5/19/2020,KS,8340,58650,0,0,173,0,0,66990,465,0.00%,7702
5970,5/19/2020,NJ,149013,371169,974,13639,12254,152,14613,520182,23657,6.67%,113102
6010,5/18/2020,KS,8340,58650,454,4944,173,1,5398,66990,465,8.41%,7702
6026,5/18/2020,NJ,148039,357530,1705,16299,12102,83,18004,505569,23496,9.47%,112441
6066,5/17/2020,KS,7886,53706,0,0,172,0,0,61592,443,0.00%,7271
6082,5/17/2020,NJ,146334,341231,1245,11096,12019,110,12341,487565,23299,10.09%,111016
6122,5/16/2020,KS,7886,53706,0,0,172,0,0,61592,443,0.00%,7271
6138,5/16/2020,NJ,145089,330135,1184,11068,11909,115,12252,475224,22939,9.66%,110241
6178,5/15/2020,KS,7886,53706,418,3546,172,8,3964,61592,443,10.54%,7271
6194,5/15/2020,NJ,143905,319067,1201,10075,11794,197,11276,462972,15642,10.65%,116469
6234,5/14/2020,KS,7468,50160,0,0,164,0,0,57628,422,0.00%,6882
6250,5/14/2020,NJ,142704,308992,1144,9102,11597,253,10246,451696,15642,11.17%,115465
6290,5/13/2020,KS,7468,50160,352,3167,164,6,3519,57628,422,10.00%,6882
6306,5/13/2020,NJ,141560,299890,817,7573,11344,202,8390,441450,15642,9.74%,114574
6346,5/12/2020,KS,7116,46993,0,0,158,0,0,54109,376,0.00%,6582
6362,5/12/2020,NJ,140743,292317,798,6329,11142,212,7127,433060,15642,11.20%,113959
6402,5/11/2020,KS,7116,46993,168,1436,158,1,1604,54109,376,10.47%,6582
6418,5/11/2020,NJ,139945,285988,1413,112073,10930,60,113486,425933,15642,1.25%,113373
6458,5/10/2020,KS,6948,45557,197,2375,157,0,2572,52505,371,7.66%,6420
6474,5/10/2020,NJ,138532,173915,1447,5794,10870,151,7241,312447,15642,19.98%,112020
6514,5/9/2020,KS,6751,43182,250,1975,157,5,2225,49933,350,11.24%,6244
6530,5/9/2020,NJ,137085,168121,1631,4816,10719,177,6447,305206,15642,25.30%,110724
6570,5/8/2020,KS,6501,41207,357,2529,152,5,2886,47708,332,12.37%,6017
6586,5/8/2020,NJ,135454,163305,1819,4282,10542,170,6101,298759,15642,29.81%,109270
6626,5/7/2020,KS,6144,38678,410,2298,147,3,2708,44822,323,15.14%,5674
6642,5/7/2020,NJ,133635,159023,1745,1993,10372,264,3738,292658,15642,46.68%,107621
6682,5/6/2020,KS,5734,36380,276,1746,144,7,2022,42114,318,13.65%,5272
6698,5/6/2020,NJ,131890,157030,1297,0,10108,323,1297,288920,15642,100.00%,106140
6738,5/5/2020,KS,5458,34634,213,1276,137,1,1489,40092,296,14.30%,5025
6754,5/5/2020,NJ,130593,157030,2324,8079,9785,341,10403,287623,15642,22.34%,105166
6794,5/4/2020,KS,5245,33358,215,1610,136,2,1825,38603,291,11.78%,4818
6810,5/4/2020,NJ,128269,148951,1525,629,9444,62,2154,277220,15642,70.80%,103183
6850,5/3/2020,KS,5030,31748,284,1552,134,3,1836,36778,286,15.47%,4610
6866,5/3/2020,NJ,126744,148322,3027,9727,9382,154,12754,275066,15642,23.73%,101720
6906,5/2/2020,KS,4746,30196,297,1611,131,1,1908,34942,286,15.57%,4329
6922,5/2/2020,NJ,123717,138595,2527,3240,9228,227,5767,262312,15642,43.82%,98847
6962,5/1/2020,KS,4449,28585,211,1197,130,1,1408,33034,280,14.99%,4039
6978,5/1/2020,NJ,121190,135355,2538,6089,9001,334,8627,256545,15642,29.42%,96547
7018,4/30/2020,KS,4238,27388,500,1668,129,4,2168,31626,272,23.06%,3837
7034,4/30/2020,NJ,118652,129266,2388,4212,8667,481,6600,247918,15642,36.18%,94343
7074,4/29/2020,KS,3738,25720,247,1121,125,1,1368,29458,266,18.06%,3347
7090,4/29/2020,NJ,116264,125054,2408,4551,8186,349,6959,241318,15642,34.60%,92436
7130,4/28/2020,KS,3491,24599,163,760,124,4,923,28090,0,17.66%,3367
7146,4/28/2020,NJ,113856,120503,2668,3916,7837,428,6584,234359,15642,40.52%,90377
7186,4/27/2020,KS,3328,23839,154,786,120,2,940,27167,0,16.38%,3208
7202,4/27/2020,NJ,111188,116587,2150,2481,7409,139,4631,227775,0,46.43%,103779
7242,4/26/2020,KS,3174,23053,118,910,118,1,1028,26227,0,11.48%,3056
7258,4/26/2020,NJ,109038,114106,3515,5943,7270,101,9458,223144,0,37.16%,101768
7298,4/25/2020,KS,3056,22143,279,1332,117,6,1611,25199,0,17.32%,2939
7314,4/25/2020,NJ,105523,108163,3327,4397,7169,280,7724,213686,0,43.07%,98354
7354,4/24/2020,KS,2777,20811,295,1975,111,-1,2270,23588,0,13.00%,2666
7370,4/24/2020,NJ,102196,103766,2207,3607,6889,279,5814,205962,0,37.96%,95307
7410,4/23/2020,KS,2482,18836,271,844,112,2,1115,21318,0,24.30%,2370
